TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
156.409614512,-194.502,28.4665,8.74368,7.81136,-5.43429,10.1586,-12.3516,6.46857,-6.3023,4.00979,-5.71416,0.830372,-4.8625,3.49571,-6.40043,0.315459,-1.81556,2.58403,-0.335972,1.70947,-1.89421
156.432834467,-198.771,26.0219,10.3577,7.85103,-4.27878,7.37163,-12.8928,5.29273,-6.17272,4.87241,-3.16591,1.63071,-2.51185,-0.135924,-6.19208,1.00441,-0.256522,1.80338,-1.44745,2.81947,-0.488311
156.456054422,-198.957,23.71,7.32857,5.00659,-0.449416,5.73605,-9.83926,5.94295,-4.89932,4.43245,-4.15738,-0.546531,-3.37593,3.13941,-4.02805,1.18511,-2.6145,2.14628,-1.00096,1.22791,0.698499
156.479274376,-204.327,28.7463,5.46134,6.85788,-2.79272,8.23694,-10.0545,7.4403,-8.36629,4.57628,-8.18308,3.17719,-5.88264,3.71128,-5.45845,-0.718236,-1.52894,1.34654,-2.01946,0.503718,-1.27868
156.502494331,-204.783,29.7549,7.26213,8.05915,-6.01584,6.83071,-10.631,8.60686,-8.04951,5.23456,-7.37708,1.76035,-7.07114,3.19932,-2.21068,1.63905,-0.289484,-0.145704,-1.9822,0.00307996,-2.3616
156.525714286,-205.515,28.8796,5.70447,4.36385,-3.75514,7.06354,-8.22528,6.81321,-6.96117,3.82727,-8.04342,2.28875,-5.66729,3.37017,-2.93018,1.49106,0.557195,0.479878,-3.20765,2.38031,-2.1019
156.548934240,-213.268,29.9172,6.23196,6.5098,-0.646425,6.7266,-8.20464,6.57812,-7.87817,2.95621,-4.70817,3.35459,-5.21727,3.50076,-3.40021,0.78061,-2.02963,1.00416,-3.33598,0.708583,-2.90059
156.572154195,-210.647,31.3679,3.46734,8.07741,-6.22637,3.81509,-10.9396,6.65391,-9.23628,3.48501,-4.0622,1.92342,-4.54404,3.05919,-3.92785,0.354598,-1.66428,-0.0832542,-1.38651,0.59148,-1.08144
156.595374150,-215.477,29.0402,2.45911,7.69406,-3.31434,4.09776,-9.68022,4.56489,-4.4193,4.1691,-3.63725,3.36849,-6.28905,0.609035,-3.48915,1.27914,-2.61517,-0.172187,-5.0139,1.45593,-2.60008
156.618594104,-212.345,27.2017,0.967816,6.49681,-1.97584,5.34852,-9.73377,6.66844,-5.56611,3.23765,-7.13145,2.32571,-6.56304,4.64857,-1.32087,0.973498,-1.81771,-1.40689,-1.87436,-0.446288,-4.07751
156.641814059,-213.212,30.686,2.13112,5.87857,-4.91887,7.43706,-10.3567,6.02549,-4.61223,3.78434,-8.50519,0.464457,-6.48722,3.06535,-2.22643,-0.228693,-4.03474,1.61405,0.293261,-0.493695,-1.28003
156.665034014,-211.58,29.2589,5.15205,6.2842,-4.2006,6.19664,-10.4492,7.45055,-4.20893,3.20892,-5.99931,0.680641,-6.29831,3.72935,-2.02965,3.26062,-3.7643,3.75759,-3.51565,-0.792531,-0.730161
156.688253968,-215.986,33.1487,-0.312037,2.50254,-3.96435,4.58495,-7.92961,6.2602,-5.79801,5.35668,-2.25042,4.63039,-5.23363,4.24503,-0.58939,7.28437,-1.78233,2.68716,-1.80332,1.50406,-1.62304
156.711473923,-229.474,39.8066,-3.00117,6.06753,-3.28948,3.9983,-7.49327,3.33177,-7.89614,4.54981,-0.5491,4.16774,-2.41785,3.71996,-0.575186,1.31232,-2.39283,2.51705,2.70183,-0.224981,0.899228
156.734693878,-223.459,35.849,-5.7282,1.89493,-0.109728,-1.92044,-6.72658,4.58565,-5.25196,4.02175,-0.959078,0.827752,-1.91234,1.91332,2.1452,5.27323,-0.596416,3.3654,-1.42141,1.19922,-1.5632
156.757913832,-175.261,-1.35481,4.11215,9.29147,-10.6253,5.18499,-5.23119,5.59721,-11.4352,9.13186,-4.93157,4.39724,-4.14269,3.54235,-0.912978,6.47842,-2.05676,3.89881,-3.80137,5.18639,-3.6276
156.781133787,-178.184,7.30334,0.138956,13.8224,-13.345,8.57222,-8.81325,7.21627,-15.6635,10.6184,-5.47129,4.03359,-2.77961,4.03036,-0.515324,8.74852,-0.523167,3.57704,-4.61461,1.86871,-0.524928
156.804353741,-177.261,12.4801,3.6034,9.36502,-8.81466,9.8901,-6.5617,7.66455,-12.9941,7.30581,-4.14825,3.55419,-4.21347,5.09581,-2.00629,3.95464,-6.27012,4.21245,-6.22082,-0.0461409,-4.31752
156.827573696,-193.816,22.6887,-1.04893,9.17722,-6.63037,11.9685,-8.89998,7.04049,-9.83789,1.79707,-3.57311,5.88908,-0.517301,3.01273,-2.15078,4.60695,-2.42726,0.946183,-4.45376,1.50831,-2.86985
156.850793651,-209.15,29.6488,2.37656,8.4877,-7.86758,11.1009,-9.62936,4.09706,-7.95145,0.534235,-3.60405,5.43272,-2.05487,1.92097,-0.975946,1.39196,-2.10215,0.152158,-4.34636,-1.29824,-2.71629
156.874013605,-207.96,34.0697,5.76641,8.10144,-12.1825,14.2011,-10.8677,4.16405,-6.24996,1.12044,-4.35493,-0.529232,-1.54046,1.18849,-0.172156,-1.63283,-0.181908,-0.780371,-2.4077,-1.96663,-4.34667
156.897233560,-215.688,36.452,5.63785,11.6261,-11.9474,16.5697,-11.4865,6.16957,-6.85598,0.95002,-2.73666,-1.88228,1.04169,-3.36143,-0.663605,-2.75362,3.92161,-3.74705,-3.05458,-5.14674,-1.90396
156.920453515,-221.944,33.5002,1.09504,13.7886,-12.749,16.4491,-14.0198,7.86689,-4.77985,2.62688,-0.482881,2.52932,0.765838,-1.97521,3.98479,-2.03024,2.54451,-1.44141,0.42265,-5.51209,-0.350953
156.943673469,-217.899,32.3868,8.5902,10.6364,-8.70567,14.2843,-12.7573,5.19613,-5.83455,-0.00570223,-3.02948,4.31381,-1.8273,1.08133,-5.88071,-0.920141,-0.751775,1.49879,-1.82805,-1.65891,-3.28985
156.966893424,-217.882,30.9957,9.66928,10.3941,-7.196,9.99961,-13.3281,4.83616,-6.2017,-0.467876,-3.79891,2.22509,-4.24451,3.25643,-3.99583,1.20854,-2.1669,2.07472,-3.5145,-2.08842,-2.8295
156.990113379,-215.332,32.8503,7.33286,6.67637,-11.0773,12.2626,-13.363,6.72703,-9.48475,-1.05536,-6.3074,2.30014,-5.41423,4.53891,-2.64734,1.18315,-0.860159,-0.280216,-3.08769,-3.96732,-1.7922
157.013333333,-218.407,31.2111,6.08821,6.14511,-8.25254,11.7875,-11.375,7.15324,-7.33827,0.639134,-7.17069,3.01034,-4.8913,4.00817,-3.52129,3.57674,-1.80789,-0.425019,-4.10335,-3.29323,-2.86565
157.036553288,-215.664,30.1302,7.7707,7.08288,-5.0962,11.7422,-12.7577,9.55917,-8.43929,1.13587,-6.25992,5.17304,-4.20562,3.9337,-3.34526,2.28018,-0.808565,1.77196,-3.59061,-5.47097,-3.24319
157.059773243,-213.857,31.4862,4.12842,10.7891,-9.59987,11.5669,-10.5814,7.5266,-8.49589,3.36241,-3.88747,5.01616,-3.99534,5.31789,-1.66305,2.08442,1.2845,0.840068,-3.63266,-5.31709,-0.522222
157.082993197,-212.473,29.8599,3.72541,9.26265,-11.096,13.7101,-12.9729,10.4928,-6.41885,6.75523,-4.5065,7.31501,-4.59167,1.89923,-2.80513,1.17246,2.48433,-1.22373,-3.31422,-6.4555,-0.611927
157.106213152,-216.52,33.0264,3.10614,10.264,-9.26776,15.6889,-11.7499,9.05916,-7.67673,4.458,-5.29956,5.04119,-7.25837,1.8899,-1.23093,0.514455,0.623457,-2.66703,-2.75407,-6.10189,0.239835
157.129433107,-218.918,31.5281,4.80594,6.19544,-8.45232,10.9145,-12.8407,7.69094,-6.47629,6.68691,-7.82225,4.86309,-8.94448,4.77366,-1.27352,2.1893,1.89713,0.956223,-1.28793,-3.7948,-2.19106
157.152653061,-218.136,29.2269,2.3157,4.81356,-5.50841,13.4301,-12.6547,8.77501,-7.87785,5.1714,-7.16109,3.22694,-7.47739,2.17424,-3.72638,2.95549,-0.364224,1.0958,-1.68673,-2.86368,-1.59632
157.175873016,-214.392,30.065,5.11203,6.21098,-8.34912,12.5961,-12.5445,8.81607,-5.97783,3.56149,-5.97022,2.96434,-5.60233,5.78259,-1.11208,1.07553,-0.59738,1.63711,-1.17723,-4.3187,-2.2731
157.199092971,-207.689,29.3977,4.08223,8.45776,-5.97048,11.0331,-7.48151,7.00932,-7.68578,5.02124,-7.94239,4.18356,-6.97285,3.45608,-2.6653,3.82702,1.87248,-0.0641883,-2.10418,-4.89477,-3.64764
157.222312925,-198.552,34.0926,0.891584,5.29313,-5.34284,10.588,-6.29248,9.06101,-8.5711,2.276,-5.3696,4.19764,-4.09586,7.17928,-2.92592,0.371839,-1.03132,-1.26638,-0.922243,-4.69122,-2.74227
157.245532880,-199.65,35.0535,2.51779,6.24072,-7.96248,9.14498,-12.0617,7.17241,-7.37147,3.89346,-3.83346,7.8423,-3.8917,0.224183,-5.8127,-5.44603,-1.94384,-0.175235,0.414013,-3.1735,0.00364551
